Family_ID,POS,Word/Collocations,Strict_Synonyms,Meaning_VN,,
64,phrase,rare book,scarce edition,sách hiếm,,
64,adj,rare,"scarce, uncommon",hiếm,,
64,adv,rarely,seldom,hiếm khi,,
64,phrase,rarely seen,seldom observed,hiếm thấy,,
70,phrase,constantly evolving,continually developing,không ngừng phát triển,,
70,adv,constantly,continuously,không ngừng,,
70,phrase,constant change,incessant alteration,thay đổi liên tục,,
70,phrase,constant companion,inseparable partner,bạn đồng hành không rời,,
70,phrase,constant pressure,persistent stress,áp lực không ngừng,,
70,adj,constant,"persistent, incessant",không ngừng/liên tục,,
73,phrase,always available,constantly accessible,luôn có sẵn,,
73,phrase,always remember,constantly recall,luôn nhớ,,
73,phrase,always true,perpetually true,luôn đúng,,
73,adv,always,"perpetually, constantly",luôn luôn,,
73,phrase,at all times,without exception,mọi lúc,,
74,adv,never,at no time,không bao giờ,,
74,phrase,never again,at no time in the future,không bao giờ lặp lại,,
74,phrase,never before,at no time previously,chưa từng có trước đây,,
74,phrase,under no circumstances,by no means,không trong bất kỳ trường hợp nào,,
74,phrase,never mind,,đừng bận tâm/không sao đâu,,
75,phrase,seen everywhere,commonly observed,thấy ở khắp nơi,,
75,phrase,found everywhere,commonly present,tìm thấy ở mọi nơi,,
75,phrase,all over,in all locations,khắp bề mặt/mọi nơi,,
75,adv,everywhere,in all places,khắp mọi nơi,,
75,phrase,go everywhere,travel widely,đi khắp nơi,,
76,phrase,somewhere else,at another location,ở một nơi khác,,
76,adv,somewhere,in a certain location,ở một nơi nào đó,,
76,phrase,find somewhere,locate in a certain place,tìm thấy ở đâu đó,,
76,phrase,go somewhere,travel to a certain spot,đi đâu đó,,
76,phrase,somewhere or other,,ở đâu đó (không rõ địa điểm cụ thể),,
77,n,nobody,no one,không một ai,,
77,phrase,nobody knows,no one is aware,không ai biết,,
77,phrase,nobody cares,no one is concerned,không ai quan tâm,,
77,phrase,nobody home,no one present,không có ai ở nhà,,
78,phrase,somebody special,a certain person,người đặc biệt,,
78,phrase,somebody else,another person,người nào đó khác,,
78,n,somebody,someone,một người nào đó,,
78,phrase,somebody told me,someone informed me,ai đó đã nói với tôi,,
79,phrase,everything possible,all things feasible,tất cả những gì có thể,,
79,n,everything,the entirety,tất cả mọi thứ,,
79,phrase,everything ready,the entirety prepared,mọi thứ đã sẵn sàng,,
79,phrase,everything clear,the whole lot understood,mọi thứ đã rõ ràng,,
80,phrase,something new,a certain new item,điều gì đó mới mẻ,,
80,n,something,a certain thing,một cái gì đó,,
80,phrase,something special,an item of distinction,điều gì đó đặc biệt,,
80,phrase,something wrong,an object of error,có gì đó sai sót,,
88,adj,credible,believable,đáng tin cậy,,
88,adv,credibly,believably,một cách đáng tin cậy,,
88,phrase,credibly argued,believably argued,lập luận đáng tin cậy,,
88,phrase,credible evidence,reliable evidence,bằng chứng đáng tin cậy,,
88,phrase,credible source,reliable source,nguồn đáng tin cậy,,
88,phrase,credible threat,,mối đe dọa có cơ sở (đáng tin),,
90,adj,plausible,believable,hợp lý/đáng tin,,
90,phrase,plausible explanation,believable explanation,lời giải thích hợp lý,,
90,phrase,plausible scenario,believable scenario,kịch bản hợp lý,,
90,adv,plausibly,believably,một cách hợp lý,,
90,phrase,plausibly argued,believably argued,lập luận hợp lý,,
90,phrase,plausible deniability,,sự phủ nhận hợp lý (một chiến thuật),,
97,adj,improbable,unlikely,không chắc chắn/khó xảy ra,,
97,adv,improbably,unlikely,một cách khó xảy ra,,
97,phrase,improbable coincidence,unlikely coincidence,sự trùng hợp khó tin,,
97,phrase,improbable result,unlikely result,kết quả khó tin,,
97,phrase,improbable victory,unlikely victory,chiến thắng khó tin,,
97,phrase,improbably successful,,thành công khó tin,,
100,adj,indefinite,uncertain,vô thời hạn/không xác định,,
100,phrase,indefinite delay,uncertain delay,trì hoãn vô thời hạn,,
100,phrase,indefinite period,uncertain period,thời gian không xác định,,
100,adv,indefinitely,uncertainly,vô thời hạn,,
100,phrase,indefinite article,,mạo từ không xác định (a/an),,
100,phrase,indefinitely postponed,,bị hoãn vô thời hạn,,
103,adj,variable,changing,biến thiên/thay đổi,,
103,phrase,variable weather,changing weather,thời tiết thay đổi thất thường,,
103,phrase,variable results,fluctuating results,kết quả biến động,,
103,phrase,variable quality,inconsistent quality,chất lượng không ổn định,,
103,adv,variably,inconsistently,một cách không ổn định,,
104,adj,varying,differing,khác nhau/thay đổi,,
104,phrase,varying sizes,differing dimensions,quy mô khác nhau,,
104,phrase,varying degrees,differing levels,mức độ khác nhau,,
104,phrase,varying opinions,differing views,ý kiến khác nhau,,
105,adj,diverse,varied,đa dạng,,
105,phrase,diverse background,varied heritage,nền tảng đa dạng,,
105,phrase,diverse population,varied population,dân số đa dạng,,
105,phrase,diverse opinions,varied views,quan điểm đa dạng,,
105,phrase,diversely talented,variedly gifted,tài năng đa dạng,,
105,adv,diversely,,một cách đa dạng,,
106,adj,varied,diverse,đa dạng/nhiều loại,,
106,phrase,varied experience,diverse background,kinh nghiệm đa dạng,,
106,phrase,varied interests,diverse hobbies,sở thích đa dạng,,
106,phrase,varied diet,diverse nutrition,chế độ ăn uống đa dạng,,
107,adj,heterogeneous,diverse,không đồng nhất/hỗn hợp,,
107,phrase,heterogeneous mixture,diverse blend,hỗn hợp không đồng nhất (hóa học),,
107,phrase,heterogeneous data,diverse data,dữ liệu không đồng nhất,,
107,phrase,heterogeneous group,diverse group,nhóm không đồng nhất,,
107,adv,heterogeneously,diversely,một cách không đồng nhất,,
107,phrase,heterogeneously distributed,diversely spread,phân bố không đồng nhất,,
111,adj,standardized,regulated,tiêu chuẩn hóa,,
111,phrase,standardized test,regulated exam,bài kiểm tra tiêu chuẩn hóa,,
111,phrase,standardized format,regulated layout,định dạng tiêu chuẩn hóa,,
111,phrase,standardized procedure,regulated process,quy trình tiêu chuẩn hóa,,
117,adj,complex,complicated,phức tạp,,
117,phrase,complex relationship,complicated bond,mối quan hệ phức tạp,,
117,phrase,complex problem,complicated issue,vấn đề phức tạp,,
117,phrase,complex system,complicated network,hệ thống phức tạp,,
117,phrase,complexly interrelated,,có mối liên hệ phức tạp,,
118,phrase,complicated math,complex math,toán học phức tạp,,
118,phrase,complicated process,complex process,quá trình phức tạp,,
118,phrase,complicated situation,complex situation,tình huống phức tạp,,
118,adj,complicated,"complex, intricate",phức tạp,,
121,phrase,simplistic approach,oversimplified approach,cách tiếp cận đơn giản hóa,,
121,phrase,simplistic solution,oversimplified solution,giải pháp đơn giản hóa quá mức,,
121,phrase,simplistic view,oversimplified view,quan điểm đơn giản hóa,,
121,adj,simplistic,,đơn giản một cách ngây thơ/thiếu sót,,
121,adv,simplistically,,một cách đơn giản hóa,,
124,adj,clear,"evident, obvious",rõ ràng,,
124,phrase,clear evidence,transparent evidence,bằng chứng rõ ràng,,
124,phrase,clearly visible,transparently visible,nhìn thấy rõ ràng,,
124,adv,clearly,,một cách rõ ràng,,
124,phrase,clear explanation,,giải thích rõ ràng,,
124,phrase,clear instructions,,hướng dẫn rõ ràng,,
127,phrase,apparent reason,seeming reason,lý do bề ngoài,,
127,phrase,apparent success,seeming success,thành công bề ngoài,,
127,adj,apparent,"seeming, evident",rõ ràng (bề ngoài),,
127,phrase,apparently simple,seemingly simple,dường như đơn giản,,
127,adv,apparently,,nhìn dường như là,,
127,phrase,apparent contradiction,,mâu thuẫn bề ngoài,,
132,phrase,explicit agreement,clear agreement,thỏa thuận rõ ràng,,
132,phrase,explicit instructions,clear instructions,hướng dẫn rõ ràng,,
132,adj,explicit,"clear, unequivocal",rõ ràng/trực tiếp,,
132,phrase,explicitly stated,clearly stated,được nêu rõ ràng,,
132,adv,explicitly,,một cách trực tiếp/nêu rõ,,
132,phrase,explicit content,,nội dung nhạy cảm (cảnh báo),,
133,phrase,implicit assumption,implied assumption,giả định ngầm,,
133,phrase,implicit bias,implied bias,thành kiến ​​ngầm,,
133,phrase,implicit meaning,implied meaning,ý nghĩa ngầm,,
133,adj,implicit,"implied, inherent",ngầm/mặc định,,
133,adv,implicitly,,một cách ngầm hiểu,,
133,phrase,implicitly understood,,được hiểu ngầm,,
134,phrase,implied consent,implicit consent,ngầm đồng ý,,
134,phrase,implied criticism,implicit criticism,ngầm chỉ trích,,
134,phrase,implied threat,implicit threat,ngầm đe dọa,,
134,adj,implied,"implicit, hinted",ngầm định/ngụ ý,,
135,phrase,tacit agreement,unspoken agreement,sự thỏa thuận ngầm,,
135,phrase,tacit approval,unspoken approval,sự chấp thuận ngầm,,
135,phrase,tacit understanding,unspoken understanding,sự hiểu biết ngầm,,
135,adj,tacit,"unspoken, implied",ngầm/không nói ra,,
135,adv,tacitly,,một cách ngầm hiểu,,
135,phrase,tacitly assumed,,giả định ngầm,,
136,phrase,unspoken agreement,tacit agreement,thỏa thuận ngầm,,
136,phrase,unspoken rule,tacit rule,quy tắc bất thành văn,,
136,phrase,unspoken tension,tacit tension,căng thẳng ngầm,,
136,adj,unspoken,"tacit, unstated",không nói ra/ngầm,,
139,phrase,concluded agreement,finalized agreement,thỏa thuận đã ký/đã kết thúc,,
139,adj,concluded,"finished, finalized",được kết thúc,,
140,adj,finalized,"completed, settled",được hoàn tất,,
140,phrase,finalized decision,concluded decision,quyết định cuối cùng,,
140,phrase,finalized plan,concluded plan,kế hoạch cuối cùng,,
140,phrase,finalized report,concluded report,báo cáo cuối cùng,,
143,phrase,accomplished goal,achieved goal,mục tiêu đã hoàn thành,,
143,phrase,accomplished musician,skilled musician,nhạc sĩ thành đạt,,
143,adj,accomplished,"skilled, achieved",thành đạt/hoàn thành,,
143,phrase,accomplished fact,,sự việc đã rồi (không thể thay đổi),,
145,phrase,attained age,achieved age,độ tuổi đạt được (theo quy định),,
145,phrase,attained height,achieved height,độ cao đạt tới,,
145,phrase,attained level,achieved level,trình độ đạt được,,
145,adj,attained,"reached, achieved",đạt tới,,
178,n,standpoint,perspective,quan điểm/lập trường,,
178,phrase,ethical standpoint,moral perspective,quan điểm đạo đức,,
178,phrase,feminist standpoint,feminist perspective,quan điểm nữ quyền,,
178,phrase,standpoint analysis,perspective examination,phân tích từ góc nhìn,,
178,phrase,critique from a standpoint,,phê bình từ một quan điểm,,
180,n,stance,position,lập trường/thái độ,,
180,phrase,political stance,political position,lập trường chính trị,,
180,phrase,moral stance,moral position,lập trường đạo đức,,
180,phrase,take a stance,adopt a position,đưa ra lập trường,,
181,n,attitude,disposition,thái độ,,
181,phrase,positive attitude,optimistic disposition,thái độ tích cực,,
181,phrase,youthful attitude,youthful disposition,thái độ trẻ trung,,
181,phrase,attitudinal change,behavioral alteration,sự thay đổi thái độ,,
183,n,tendency,inclination,xu hướng,,
183,phrase,natural tendency,natural inclination,xu hướng tự nhiên,,
183,phrase,artistic tendency,artistic inclination,xu hướng nghệ thuật,,
184,n,inclination,leaning,khuynh hướng/sự thiên về,,
184,phrase,political inclination,political leaning,khuynh hướng chính trị,,
184,phrase,romantic inclination,romantic leaning,khuynh hướng lãng mạn,,
186,n,orientation,direction,sự định hướng,,
186,phrase,sexual orientation,,xu hướng tình dục,,
186,phrase,professional orientation,career direction,định hướng chuyên nghiệp,,
189,n,program,scheme,chương trình,,
189,phrase,educational program,educational scheme,chương trình giáo dục,,
189,phrase,computer programmer,,lập trình viên máy tính,,
189,phrase,programmatic approach,systematic method,cách tiếp cận có hệ thống,,
190,v,allocate,assign,phân bổ,,
190,phrase,allocate resources,assign assets,phân bổ nguồn lực,,
190,phrase,resource allocation,asset assignment,sự phân bổ nguồn lực,,
190,phrase,allocable funds,assignable money,quỹ có thể phân bổ,,
191,v,distribute,dispense,phân phối,,
191,phrase,distribute wealth,dispense riches,phân phối của cải,,
191,phrase,income distribution,income dispensation,phân phối thu nhập,,
191,phrase,distributive justice,fair dispensation,công bằng phân phối,,
193,v,appropriate,allocate,phân bổ (quỹ),,
193,phrase,appropriate funds,allocate money,phân bổ quỹ,,
193,phrase,budget appropriation,budget allocation,việc cấp phát ngân sách,,
200,adj,planned,scheduled,có kế hoạch/được lên kế hoạch,,
200,phrase,planned economy,,nền kinh tế kế hoạch,,
201,adj,schematic,diagrammatic,thuộc về sơ đồ,,
201,v,supervise,oversee,giám sát,,
201,n,supervision,oversight,sự giám sát,,
201,adj,supervisory,managerial,thuộc về giám sát,,
201,phrase,supervise staff,,giám sát nhân viên,,
201,phrase,close supervision,tight management,sự quản lý chặt chẽ,,
201,phrase,supervisory role,managerial position,vai trò giám sát,,
202,adj,formattable,customizable,có thể định dạng,,
203,adj,synthetic,artificial,tổng hợp/nhân tạo,,
203,phrase,synthetic fiber,artificial thread,sợi tổng hợp,,
204,v,control,manage,kiểm soát,,
204,n,control,management,sự kiểm soát,,
204,adj,controlled,restricted,bị kiểm soát,,
204,phrase,quality control,quality management,kiểm soát chất lượng,,
204,phrase,remote control,,điều khiển từ xa (thiết bị),,
204,phrase,controlled environment,regulated setting,môi trường được kiểm soát,,
205,n,emissions,,lượng khí thải,,
205,phrase,carbon emissions,,khí thải carbon,,
206,n,sustainability,,tính bền vững,,
206,adj,sustainable,,bền vững,,
207,phrase,greenhouse effect,,hiệu ứng nhà kính,,
215,v,engage,participate,tham gia/thu hút,,
215,n,engagement,participation,sự tham gia/cam kết,,
215,phrase,engage in activities,participate in actions,tham gia vào các hoạt động,,
215,phrase,engage students,,thu hút/làm học sinh tham gia tích cực,,
215,phrase,rules of engagement,,quy tắc tác chiến/quy tắc tham chiếu,,
216,v,interact,communicate,tương tác,,
216,n,interaction,communication,sự tương tác,,
216,adj,interactive,,có tính tương tác,,
216,phrase,social interaction,social communication,tương tác xã hội,,
216,phrase,interact with peers,communicate with colleagues,tương tác với bạn bè/đồng trang lứa,,
216,phrase,interactive learning,communicative education,học tập tương tác,,
219,v,include,incorporate,bao gồm,,
219,n,inclusion,incorporation,sự bao hàm/bao gồm,,
219,adj,inclusive,comprehensive,bao gồm tất cả/hòa nhập,,
219,phrase,include data,incorporate figures,bao gồm dữ liệu,,
219,phrase,social inclusion,,hòa nhập xã hội,,
219,phrase,price inclusive of tax,,giá đã bao gồm thuế,,
230,v,question,query,nghi ngờ/đặt câu hỏi,,
230,phrase,question authority,query leadership,nghi ngờ chính quyền,,
230,phrase,call into question,cast doubt on,đặt nghi vấn về,,
230,phrase,open to question,debatable,có thể bàn cãi,,
231,v,dispute,challenge,tranh chấp/bàn cãi,,
231,n,dispute,conflict,cuộc tranh chấp,,
231,adj,disputable,,có thể bàn cãi,,
231,phrase,labor dispute,workplace conflict,tranh chấp lao động,,
231,phrase,dispute a claim,challenge an assertion,tranh chấp một tuyên bố,,
231,phrase,beyond dispute,indisputable,không thể chối cãi,,
232,v,resolve,settle,giải quyết (vấn đề),,
232,n,resolution,settlement,sự giải quyết/độ phân giải,,
232,phrase,resolve a conflict,settle a dispute,giải quyết xung đột,,
232,phrase,conflict resolution,dispute settlement,sự giải quyết xung đột,,
232,phrase,firmly resolved,determined,quyết tâm mạnh mẽ,,
233,n,outcome,result,kết quả/đầu ra,,
233,phrase,likely outcome,probable result,kết quả có khả năng xảy ra,,
233,phrase,successful outcome,positive result,kết quả thành công,,
233,phrase,outcome of the study,,kết quả của nghiên cứu,,
234,n,evidence,proof,bằng chứng,,
234,adj,evidentiary,,mang tính chứng cứ,,
234,phrase,empirical evidence,factual proof,bằng chứng thực nghiệm,,
234,phrase,anecdotal evidence,,bằng chứng giai thoại (chưa kiểm chứng),,
234,phrase,provide evidence,offer proof,cung cấp bằng chứng,,
235,n,logic,reasoning,logic/lý luận,,
235,adj,logical,rational,hợp lý/logic,,
235,adv,logically,rationally,một cách logic,,
235,phrase,flawless logic,perfect reasoning,lý luận hoàn hảo,,
235,phrase,logical conclusion,rational deduction,kết luận logic,,
235,phrase,follow logically,result rationally,theo một cách logic,,
236,n,rationale,justification,lý do căn bản/cơ sở hợp lý,,
236,phrase,economic rationale,financial justification,cơ sở hợp lý về kinh tế,,
